feature,importance
numeric__Humidity3pm,0.17696289078394234
numeric__Sunshine,0.07674689709043082
numeric__Rainfall,0.06273589607150633
numeric__Pressure3pm,0.05665598895016269
numeric__Cloud3pm,0.05359739817238047
numeric__Pressure9am,0.05332716984516863
numeric__Humidity9am,0.0491650367020465
numeric__WindGustSpeed,0.048722567196685496
categorical__RainToday_No,0.04499100868837492
numeric__Temp3pm,0.03853067739987202
numeric__Cloud9am,0.032063532314651214
numeric__MinTemp,0.03202653718908997
numeric__MaxTemp,0.03150420739533485
categorical__RainToday_Yes,0.025831057091267855
numeric__Temp9am,0.02537432724436564
numeric__WindSpeed3pm,0.01895513725319863
numeric__Evaporation,0.016222659474368965
numeric__WindSpeed9am,0.015657131270405588
numeric__Day,0.015479576334816616
numeric__Month,0.013961965175404151
numeric__Year,0.011497531996084508
categorical__WindDir9am_N,0.0029500975875747545
categorical__WindDir3pm_N,0.0024853770000375455
categorical__WindGustDir_W,0.0022195564723302814
categorical__WindDir9am_NNE,0.0019501686385936167
categorical__WindDir3pm_NW,0.0019360895560187154
categorical__WindGustDir_N,0.0018590251652924902
categorical__WindDir3pm_NNW,0.001791877447627554
categorical__WindGustDir_NW,0.0015027832203782449
categorical__WindDir3pm_SE,0.0014831284154706607
categorical__WindDir3pm_W,0.001477347582537287
categorical__WindDir3pm_WNW,0.0014642423084351046
categorical__WindDir3pm_NE,0.0014324749944047248
categorical__WindDir3pm_SW,0.0014189968447972398
categorical__WindDir3pm_SSE,0.0014013118886829034
categorical__WindDir9am_E,0.001381165240790004
categorical__WindGustDir_NNW,0.0013668743427405579
categorical__WindDir9am_S,0.0013534732215273353
categorical__WindDir3pm_S,0.0013534089221614342
categorical__WindDir9am_W,0.001329942164537062
categorical__WindDir9am_NNW,0.0013287124366176916
categorical__WindDir3pm_NNE,0.00130428768350686
categorical__WindDir3pm_WSW,0.0012997501432898276
categorical__Location_Wollongong,0.0012916309065200522
categorical__WindDir9am_SSE,0.0012778420034262764
categorical__WindGustDir_NE,0.0012670277238147104
categorical__WindDir9am_NW,0.00126559569019018
categorical__WindGustDir_SSW,0.0012617750579057248
categorical__WindGustDir_E,0.0012572256811772655
categorical__WindGustDir_WNW,0.001255964408587051
categorical__WindDir3pm_SSW,0.0012532327835539504
categorical__WindGustDir_S,0.001234540483339013
categorical__WindGustDir_SW,0.0012155441439197015
categorical__WindDir9am_SE,0.0012079680639054818
categorical__WindGustDir_WSW,0.0012037032344333401
categorical__WindDir9am_SW,0.0011919764431483476
categorical__WindDir9am_WSW,0.0011918836352143986
categorical__WindDir9am_SSW,0.0011914603064079729
categorical__Location_Woomera,0.0011743848770247218
categorical__WindGustDir_SSE,0.0011639820974318244
categorical__WindGustDir_SE,0.0011524082128095757
categorical__Location_Albany,0.0011200321345453765
categorical__WindDir9am_WNW,0.0011094958051318298
categorical__WindDir9am_NE,0.0011060890464867127
categorical__WindGustDir_NNE,0.0010823432944170141
categorical__Location_Witchcliffe,0.0010055867794664265
categorical__WindDir9am_ESE,0.000997535915757245
categorical__WindDir3pm_E,0.0009874221437952224
categorical__Location_CoffsHarbour,0.0009709937618117777
categorical__Location_NorahHead,0.0009500884841228066
categorical__WindDir3pm_ESE,0.000937718245925102
categorical__Location_Brisbane,0.0009331069054616119
categorical__Location_NorfolkIsland,0.0009159972950923003
categorical__Location_Williamtown,0.0009107558629602558
categorical__Location_Hobart,0.0008791556439620448
categorical__WindDir3pm_ENE,0.0008752105907122447
categorical__WindGustDir_ENE,0.0008713033058839595
categorical__Location_Sydney,0.0008652729550433743
categorical__Location_Ballarat,0.0008555626173077585
categorical__WindGustDir_ESE,0.0008497784325509198
categorical__Location_Sale,0.0008363016447164367
categorical__Location_Portland,0.0008282673765817231
categorical__WindDir9am_ENE,0.000800769552215959
categorical__Location_AliceSprings,0.0007898290421346348
categorical__Location_MountGinini,0.0007887689882610944
categorical__Location_Walpole,0.0007822743934258165
categorical__Location_Canberra,0.0007574024091687098
categorical__Location_Cairns,0.000729454381615936
categorical__Location_Dartmoor,0.0007117625108284644
categorical__Location_Richmond,0.0006981065680409321
categorical__Location_Adelaide,0.0006851837990243725
categorical__Location_MelbourneAirport,0.0006848377439667948
categorical__Location_Darwin,0.000672126334897495
categorical__Location_SydneyAirport,0.00066713941200492
categorical__Location_Townsville,0.0006633448715500921
categorical__Location_Tuggeranong,0.0006485891697838832
categorical__Location_Perth,0.0006393295664441905
categorical__Location_GoldCoast,0.000634904929602693
categorical__Location_Melbourne,0.0006189261645976203
categorical__Location_Newcastle,0.0006071758501130003
categorical__Location_MountGambier,0.0005922809408226904
categorical__Location_BadgerysCreek,0.0005914803231935085
categorical__Location_PearceRAAF,0.0005883835751377389
categorical__Location_Watsonia,0.0005882662885063907
categorical__Location_Launceston,0.0005846653744383745
categorical__Location_Cobar,0.0005835004066069624
categorical__Location_SalmonGums,0.0005731675310416306
categorical__Location_Bendigo,0.0005531327014294485
categorical__Location_Mildura,0.0005330347116545528
categorical__Location_Albury,0.0005305645870717522
categorical__Location_PerthAirport,0.0005268076488766094
categorical__Location_Uluru,0.0005258693487305303
categorical__Location_WaggaWagga,0.0005047976240313884
categorical__Location_Nuriootpa,0.000490661296039787
categorical__Location_Penrith,0.0004678118590165669
categorical__Location_Katherine,0.00045477971416373286
categorical__Location_Moree,0.0004194388566328554
categorical__Location_Nhil,0.0002659826134769391
